angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(821, 233, 368, 368)",0.0,0.05,0.0,0.72,0.2,0.0
0.06,"(821, 232, 369, 369)",0.0,0.06,0.0,0.44,0.42,0.01
0.06,"(821, 232, 369, 369)",0.0,0.07,0.0,0.44,0.42,0.01
0.05,"(831, 235, 362, 362)",0.0,0.12,0.0,0.51,0.29,0.03
0.05,"(831, 235, 361, 361)",0.0,0.11,0.0,0.48,0.33,0.03
0.05,"(831, 235, 361, 361)",0.0,0.11,0.0,0.49,0.33,0.03
0.08,"(821, 229, 370, 370)",0.0,0.13,0.0,0.3,0.46,0.04
0.08,"(821, 229, 369, 369)",0.0,0.11,0.0,0.31,0.47,0.03
0.07,"(835, 236, 358, 358)",0.0,0.09,0.0,0.44,0.36,0.03
0.09,"(833, 234, 361, 361)",0.0,0.11,0.0,0.35,0.42,0.02
0.09,"(833, 234, 361, 361)",0.0,0.11,0.0,0.35,0.42,0.02
0.08,"(835, 236, 358, 358)",0.0,0.09,0.0,0.47,0.34,0.02
0.08,"(835, 236, 358, 358)",0.0,0.1,0.0,0.46,0.34,0.02
0.05,"(839, 238, 355, 355)",0.0,0.06,0.0,0.57,0.29,0.02
0.12,"(822, 227, 370, 370)",0.0,0.12,0.0,0.28,0.43,0.06
0.12,"(822, 227, 370, 370)",0.0,0.12,0.0,0.28,0.43,0.06
0.08,"(838, 238, 355, 355)",0.0,0.08,0.0,0.5,0.32,0.02
0.08,"(838, 238, 355, 355)",0.0,0.08,0.0,0.51,0.31,0.02
0.19,"(824, 229, 366, 366)",0.0,0.11,0.0,0.26,0.38,0.06
0.2,"(824, 229, 366, 366)",0.0,0.1,0.0,0.26,0.39,0.05
0.2,"(824, 229, 366, 366)",0.0,0.1,0.0,0.26,0.38,0.06
0.09,"(839, 238, 355, 355)",0.0,0.08,0.0,0.55,0.26,0.02
0.09,"(839, 238, 355, 355)",0.0,0.08,0.0,0.55,0.26,0.02
0.14,"(825, 229, 366, 366)",0.0,0.1,0.0,0.33,0.38,0.06
0.14,"(825, 229, 366, 366)",0.0,0.1,0.0,0.32,0.38,0.06
0.14,"(825, 229, 366, 366)",0.0,0.1,0.0,0.32,0.38,0.06
0.15,"(825, 228, 366, 366)",0.0,0.09,0.0,0.34,0.38,0.05
0.14,"(825, 228, 366, 366)",0.0,0.08,0.0,0.34,0.39,0.05
0.08,"(836, 236, 358, 358)",0.0,0.08,0.0,0.49,0.33,0.02
0.08,"(836, 236, 358, 358)",0.0,0.08,0.0,0.5,0.32,0.02
0.07,"(836, 236, 359, 359)",0.0,0.1,0.0,0.5,0.3,0.02
0.06,"(838, 237, 356, 356)",0.0,0.09,0.0,0.57,0.24,0.03
0.06,"(838, 237, 356, 356)",0.0,0.09,0.0,0.58,0.24,0.03
0.06,"(838, 237, 358, 358)",0.0,0.09,0.0,0.56,0.26,0.03
0.05,"(838, 237, 358, 358)",0.0,0.09,0.0,0.57,0.24,0.03
0.05,"(838, 237, 358, 358)",0.0,0.09,0.0,0.58,0.24,0.03
0.07,"(837, 237, 357, 357)",0.0,0.11,0.0,0.52,0.28,0.03
0.07,"(837, 237, 357, 357)",0.0,0.11,0.0,0.52,0.27,0.03
0.08,"(837, 237, 358, 358)",0.0,0.11,0.0,0.49,0.29,0.03
0.07,"(838, 237, 358, 358)",0.0,0.11,0.0,0.49,0.3,0.03
0.07,"(838, 237, 358, 358)",0.0,0.11,0.0,0.49,0.3,0.03
0.08,"(839, 237, 356, 356)",0.0,0.12,0.0,0.45,0.32,0.03
0.07,"(840, 238, 355, 355)",0.0,0.12,0.0,0.44,0.35,0.02
0.1,"(838, 236, 357, 357)",0.0,0.13,0.0,0.41,0.33,0.03
0.1,"(838, 237, 356, 356)",0.0,0.13,0.0,0.4,0.32,0.04
0.1,"(838, 237, 356, 356)",0.0,0.13,0.0,0.4,0.32,0.04
0.13,"(838, 237, 356, 356)",0.0,0.16,0.0,0.34,0.31,0.06
0.13,"(838, 237, 356, 356)",0.0,0.16,0.0,0.34,0.31,0.05
0.15,"(839, 237, 356, 356)",0.0,0.16,0.0,0.34,0.32,0.04
0.15,"(839, 237, 356, 356)",0.0,0.15,0.0,0.34,0.32,0.04
0.15,"(839, 237, 356, 356)",0.0,0.15,0.0,0.34,0.32,0.04
0.15,"(840, 237, 355, 355)",0.0,0.13,0.0,0.33,0.36,0.02
0.15,"(840, 237, 355, 355)",0.0,0.13,0.0,0.33,0.37,0.02
0.15,"(840, 238, 355, 355)",0.0,0.12,0.0,0.35,0.35,0.03
0.15,"(840, 238, 355, 355)",0.0,0.12,0.0,0.35,0.35,0.03
0.15,"(840, 238, 355, 355)",0.0,0.12,0.0,0.35,0.35,0.03
0.09,"(840, 239, 353, 353)",0.0,0.12,0.0,0.4,0.37,0.02
0.09,"(840, 239, 353, 353)",0.0,0.12,0.0,0.4,0.37,0.02
0.08,"(841, 237, 356, 356)",0.0,0.1,0.0,0.47,0.33,0.02
0.07,"(840, 237, 357, 357)",0.0,0.1,0.0,0.46,0.35,0.02
0.07,"(840, 236, 355, 355)",0.0,0.08,0.0,0.55,0.28,0.02
0.1,"(841, 237, 355, 355)",0.0,0.08,0.0,0.44,0.36,0.02
0.1,"(841, 237, 355, 355)",0.0,0.08,0.0,0.44,0.36,0.02
0.1,"(839, 236, 358, 358)",0.0,0.09,0.0,0.41,0.39,0.01
0.1,"(839, 236, 358, 358)",0.0,0.09,0.0,0.41,0.39,0.01
0.1,"(839, 236, 358, 358)",0.0,0.09,0.0,0.41,0.39,0.01
0.1,"(840, 238, 356, 356)",0.0,0.09,0.0,0.45,0.33,0.02
0.1,"(840, 237, 356, 356)",0.0,0.08,0.0,0.44,0.36,0.02
0.09,"(842, 239, 354, 354)",0.0,0.07,0.0,0.54,0.28,0.02
0.09,"(842, 239, 355, 355)",0.0,0.08,0.0,0.52,0.29,0.02
0.09,"(842, 239, 355, 355)",0.0,0.08,0.0,0.52,0.29,0.02
0.08,"(841, 238, 354, 354)",0.0,0.09,0.0,0.49,0.33,0.01
0.08,"(841, 238, 354, 354)",0.0,0.09,0.0,0.49,0.32,0.01
0.1,"(843, 238, 352, 352)",0.0,0.11,0.0,0.46,0.32,0.02
0.09,"(843, 238, 353, 353)",0.0,0.12,0.0,0.41,0.34,0.02
0.09,"(843, 238, 353, 353)",0.0,0.12,0.0,0.41,0.34,0.02
0.1,"(844, 238, 352, 352)",0.0,0.12,0.0,0.41,0.36,0.02
0.1,"(844, 238, 352, 352)",0.0,0.12,0.0,0.41,0.36,0.02
0.11,"(842, 237, 355, 355)",0.0,0.12,0.0,0.32,0.42,0.03
0.14,"(842, 237, 354, 354)",0.0,0.12,0.0,0.29,0.44,0.02
0.14,"(842, 237, 354, 354)",0.0,0.12,0.0,0.29,0.44,0.02
0.15,"(843, 238, 353, 353)",0.0,0.09,0.0,0.3,0.44,0.02
0.15,"(843, 238, 353, 353)",0.0,0.09,0.0,0.3,0.44,0.02
0.15,"(844, 239, 352, 352)",0.0,0.09,0.0,0.29,0.46,0.01
0.15,"(844, 239, 352, 352)",0.0,0.09,0.0,0.3,0.45,0.01
0.15,"(844, 239, 352, 352)",0.0,0.09,0.0,0.3,0.45,0.01
0.13,"(844, 239, 352, 352)",0.0,0.08,0.0,0.3,0.47,0.01
0.16,"(843, 239, 354, 354)",0.0,0.1,0.0,0.28,0.44,0.01
0.16,"(843, 239, 354, 354)",0.0,0.11,0.0,0.26,0.45,0.02
